timestamp,water_level_pct,rainfall_mm_hr,inflow_m3s,downstream_lvl_pct,phase_note,scenario
2024-06-01 00:00:00,45.1,5.01,121.22,40.48,S3-Normal start,Scenario_3_Catastrophic
2024-06-01 00:01:00,45.0,4.65,121.15,40.24,S3-Normal start,Scenario_3_Catastrophic
2024-06-01 00:02:00,45.07,4.51,120.61,40.01,S3-Normal start,Scenario_3_Catastrophic
2024-06-01 00:03:00,45.05,4.94,121.25,39.87,S3-Normal start,Scenario_3_Catastrophic
2024-06-01 00:04:00,45.0,4.72,117.55,40.19,S3-Normal start,Scenario_3_Catastrophic
2024-06-01 00:05:00,45.07,3.97,119.54,40.5,S3-Normal start,Scenario_3_Catastrophic
2024-06-01 00:06:00,44.9,5.02,116.25,40.02,S3-Normal start,Scenario_3_Catastrophic
2024-06-01 00:07:00,45.02,5.49,121.38,40.02,S3-Normal start,Scenario_3_Catastrophic
2024-06-01 00:08:00,45.05,5.25,122.66,40.32,S3-Normal start,Scenario_3_Catastrophic
2024-06-01 00:09:00,45.01,6.62,119.6,40.08,S3-Normal start,Scenario_3_Catastrophic
2024-06-01 00:10:00,45.03,5.61,119.85,40.42,S3-Normal start,Scenario_3_Catastrophic
2024-06-01 00:11:00,44.93,5.78,122.19,40.36,S3-Normal start,Scenario_3_Catastrophic
2024-06-01 00:12:00,45.06,5.52,121.22,40.1,S3-Normal start,Scenario_3_Catastrophic
2024-06-01 00:13:00,45.03,5.53,117.49,40.31,S3-Normal start,Scenario_3_Catastrophic
2024-06-01 00:14:00,45.06,5.06,120.51,40.28,S3-Normal start,Scenario_3_Catastrophic
2024-06-01 00:15:00,44.97,4.25,115.5,40.16,S3-Normal start,Scenario_3_Catastrophic
2024-06-01 00:16:00,45.07,5.23,120.31,40.33,S3-Normal start,Scenario_3_Catastrophic
2024-06-01 00:17:00,45.09,4.86,115.94,39.93,S3-Normal start,Scenario_3_Catastrophic
2024-06-01 00:18:00,45.1,4.9,116.33,40.23,S3-Normal start,Scenario_3_Catastrophic
2024-06-01 00:19:00,45.13,4.63,118.0,39.98,S3-Normal start,Scenario_3_Catastrophic
2024-06-01 00:20:00,44.96,5.02,119.35,39.89,S3-Normal start,Scenario_3_Catastrophic
2024-06-01 00:21:00,45.14,4.2,119.59,40.15,S3-Normal start,Scenario_3_Catastrophic
2024-06-01 00:22:00,45.16,5.02,123.96,40.46,S3-Normal start,Scenario_3_Catastrophic
2024-06-01 00:23:00,45.09,5.01,121.73,40.0,S3-Normal start,Scenario_3_Catastrophic
2024-06-01 00:24:00,45.06,4.22,121.32,39.91,S3-Normal start,Scenario_3_Catastrophic
2024-06-01 00:25:00,45.15,4.7,120.63,39.99,S3-Normal start,Scenario_3_Catastrophic
2024-06-01 00:26:00,45.2,4.57,119.7,39.62,S3-Normal start,Scenario_3_Catastrophic
2024-06-01 00:27:00,45.11,5.62,118.15,40.19,S3-Normal start,Scenario_3_Catastrophic
2024-06-01 00:28:00,45.2,5.05,119.7,40.35,S3-Normal start,Scenario_3_Catastrophic
2024-06-01 00:29:00,45.09,4.97,122.94,39.67,S3-Normal start,Scenario_3_Catastrophic
2024-06-01 00:30:00,45.17,4.99,120.08,40.36,S3-Normal start,Scenario_3_Catastrophic
