timestamp,water_level_pct,rainfall_mm_hr,inflow_m3s,downstream_lvl_pct,phase_note,scenario
2024-06-01 00:00:00,45.09,4.74,122.93,40.16,S3-Normal start,Scenario_3_Catastrophic
2024-06-01 00:01:00,44.98,5.09,119.97,39.46,S3-Normal start,Scenario_3_Catastrophic
2024-06-01 00:02:00,45.01,5.39,121.87,39.83,S3-Normal start,Scenario_3_Catastrophic
2024-06-01 00:03:00,45.05,4.89,120.13,40.43,S3-Normal start,Scenario_3_Catastrophic
2024-06-01 00:04:00,45.05,6.13,118.78,40.03,S3-Normal start,Scenario_3_Catastrophic
2024-06-01 00:05:00,44.99,5.61,121.53,40.29,S3-Normal start,Scenario_3_Catastrophic
2024-06-01 00:06:00,44.96,5.86,123.99,40.23,S3-Normal start,Scenario_3_Catastrophic
2024-06-01 00:07:00,45.01,4.61,120.43,40.11,S3-Normal start,Scenario_3_Catastrophic
2024-06-01 00:08:00,44.98,5.08,119.79,40.38,S3-Normal start,Scenario_3_Catastrophic
2024-06-01 00:09:00,44.98,4.33,119.35,40.14,S3-Normal start,Scenario_3_Catastrophic
2024-06-01 00:10:00,44.97,4.49,122.26,39.77,S3-Normal start,Scenario_3_Catastrophic
2024-06-01 00:11:00,44.99,4.91,124.27,40.15,S3-Normal start,Scenario_3_Catastrophic
2024-06-01 00:12:00,44.95,5.03,120.97,39.92,S3-Normal start,Scenario_3_Catastrophic
2024-06-01 00:13:00,45.03,4.78,122.23,40.47,S3-Normal start,Scenario_3_Catastrophic
2024-06-01 00:14:00,44.94,4.5,124.14,39.96,S3-Normal start,Scenario_3_Catastrophic
2024-06-01 00:15:00,45.13,5.11,119.92,40.12,S3-Normal start,Scenario_3_Catastrophic
2024-06-01 00:16:00,45.08,4.66,118.83,40.08,S3-Normal start,Scenario_3_Catastrophic
2024-06-01 00:17:00,45.13,4.97,120.36,40.05,S3-Normal start,Scenario_3_Catastrophic
2024-06-01 00:18:00,45.03,5.66,116.96,39.75,S3-Normal start,Scenario_3_Catastrophic
2024-06-01 00:19:00,45.03,5.01,121.02,40.21,S3-Normal start,Scenario_3_Catastrophic
2024-06-01 00:20:00,45.06,4.66,121.27,40.46,S3-Normal start,Scenario_3_Catastrophic
2024-06-01 00:21:00,45.11,4.52,119.64,39.93,S3-Normal start,Scenario_3_Catastrophic
2024-06-01 00:22:00,45.03,4.76,119.51,39.21,S3-Normal start,Scenario_3_Catastrophic
2024-06-01 00:23:00,45.19,5.95,120.54,40.01,S3-Normal start,Scenario_3_Catastrophic
2024-06-01 00:24:00,45.16,4.53,119.08,39.93,S3-Normal start,Scenario_3_Catastrophic
2024-06-01 00:25:00,45.11,4.72,121.32,39.68,S3-Normal start,Scenario_3_Catastrophic
